card_no,year,month,sales,transactions,items
47850,2010,1,0,4,83
15910,2010,1,-3.55E-15,2,42
42790,2010,1,0,11,82
42507,2010,1,-7.11E-15,3,48
12466,2010,1,-1.42E-13,13,240
50458,2010,1,5.68E-14,15,166
50604,2010,1,-1.78E-15,2,12
13341,2010,1,1.78E-15,1,14
10382,2010,1,7.11E-15,4,42
16825,2010,1,0,1,7
20124,2010,1,0,2,29
12521,2010,1,1.42E-14,2,28
15742,2010,1,8.53E-14,3,56
17363,2010,1,7.11E-14,9,158
16184,2010,1,0,3,29
23239,2010,1,0,1,6
11918,2010,1,0,4,26
23987,2010,1,-7.11E-15,3,63
23856,2010,1,-4.26E-14,11,147
12817,2010,1,1.71E-13,9,139
22959,2010,1,-2.27E-13,8,169
25365,2010,1,0,2,14
19346,2010,1,-1.14E-13,5,156
22783,2010,1,-1.69E-13,15,214
15273,2010,1,4.26E-14,7,115
21566,2010,1,5.68E-14,3,49
10395,2010,1,0,6,143
12587,2010,1,7.11E-15,1,18
18908,2010,1,3.55E-15,3,38
14636,2010,1,-1.56E-13,15,229
10047,2010,1,-1.42E-14,4,80
11528,2010,1,-8.88E-16,3,19
12582,2010,1,0,1,15
50800,2010,1,-8.88E-16,2,13
49800,2010,1,0,2,26
50102,2010,1,0,2,36
51094,2010,1,0,6,34
19740,2010,1,1.78E-15,5,56
20022,2010,1,0,6,50
11868,2010,1,1.07E-14,12,91
18921,2010,1,0,1,9
10086,2010,1,0,3,52
50505,2010,1,2.66E-15,2,19
46397,2010,1,8.88E-15,7,73
24207,2010,1,1.78E-15,1,8
42882,2010,1,0,6,62
17367,2010,1,0,2,17
22407,2010,1,3.55E-15,1,21
20742,2010,1,7.11E-15,6,107
22808,2010,1,-1.42E-14,7,230
23750,2010,1,1.42E-14,3,68
10346,2010,1,2.84E-14,5,258
15792,2010,1,-4.97E-14,10,207
21851,2010,1,-4.26E-14,3,71
14988,2010,1,1.44E-13,11,182
22214,2010,1,1.78E-15,9,147
12770,2010,1,1.78E-14,10,185
12899,2010,1,0,2,20
16284,2010,1,1.07E-14,4,45
24149,2010,1,0,1,23
17661,2010,1,-1.78E-15,2,23
24296,2010,1,-4.44E-16,1,20
12463,2010,1,-7.11E-14,3,114
15587,2010,1,-8.88E-15,2,34
18558,2010,1,-2.66E-14,4,95
10504,2010,1,4.36E-12,148,2091
14957,2010,1,5.33E-15,6,129
50024,2010,1,-8.88E-16,2,28
16006,2010,1,-2.13E-14,6,96
21516,2010,1,-6.39E-14,10,247
14121,2010,1,0,2,128
20251,2010,1,1.42E-14,8,184
17481,2010,1,1.14E-13,7,191
12364,2010,1,1.78E-15,3,41
12619,2010,1,0,4,73
11396,2010,1,-7.11E-14,6,90
24537,2010,1,-2.77E-13,3,188
50351,2010,1,3.20E-14,7,145
21085,2010,1,2.70E-13,5,235
46366,2010,1,7.11E-15,2,32
21642,2010,1,2.20E-13,14,201
47841,2010,1,3.13E-13,5,273
51011,2010,1,0,1,59
22899,2010,1,-1.07E-14,1,16
18861,2010,1,0,5,209
10337,2010,1,1.99E-13,3,126
21424,2010,1,7.11E-15,3,85
23871,2010,1,0,1,21
10310,2010,1,-7.11E-15,5,45
19373,2010,1,-4.26E-14,1,74
11063,2010,1,0,1,19
24609,2010,1,4.26E-14,3,96
11475,2010,1,-1.28E-13,6,280
34043,2010,1,-7.11E-14,3,58
19966,2010,1,1.92E-13,4,103
21081,2010,1,1.42E-14,4,41
36968,2010,1,1.08E-13,3,40
16545,2010,1,0,2,36
13698,2010,1,-1.42E-14,10,106
24315,2010,1,0,1,32
17401,2010,1,-7.11E-15,4,75
10245,2010,1,2.13E-14,9,160
11559,2010,1,-9.95E-14,8,123
13696,2010,1,1.62E-13,5,209
15722,2010,1,-7.11E-15,2,33
11735,2010,1,7.11E-15,3,35
20256,2010,1,4.26E-14,1,59
10800,2010,1,-9.24E-14,5,128
36629,2010,1,-7.11E-15,2,45
25344,2010,1,-5.51E-14,9,201
10038,2010,1,4.26E-14,5,74
13227,2010,1,2.13E-14,3,39
13916,2010,1,-4.26E-14,10,186
19790,2010,1,-1.85E-13,14,214
51016,2010,1,-4.26E-14,5,75
26804,2010,1,-1.07E-14,1,30
16989,2010,1,0,4,60
19680,2010,1,3.55E-15,2,19
42378,2010,1,0,1,19
48346,2010,1,2.84E-14,7,99
40638,2010,1,1.78E-15,2,44
18120,2010,1,1.56E-13,5,259
24745,2010,1,4.44E-15,1,21
51084,2010,1,-7.11E-14,7,216
10781,2010,1,-3.55E-15,15,191
25272,2010,1,-5.68E-14,12,83
13534,2010,1,2.49E-14,4,58
10103,2010,1,-4.88E-15,3,29
18283,2010,1,-6.39E-14,4,85
13291,2010,1,0,4,57
12585,2010,1,1.56E-13,9,214
11534,2010,1,-7.11E-15,1,51
21590,2010,1,6.82E-13,7,351
17441,2010,1,4.26E-14,2,39
23338,2010,1,3.55E-14,7,100
18536,2010,1,-1.71E-13,8,245
22473,2010,1,1.71E-13,2,86
19348,2010,1,-1.42E-14,2,45
14921,2010,1,0,1,25
21455,2010,1,0,2,10
21510,2010,1,-1.42E-14,3,41
44259,2010,1,0,1,21
20671,2010,1,-2.27E-13,11,265
18632,2010,1,8.35E-14,6,174
12834,2010,1,1.78E-13,4,287
12568,2010,1,-4.12E-13,7,285
15715,2010,1,1.14E-13,11,195
16923,2010,1,0,1,11
13500,2010,1,1.42E-14,6,178
19035,2010,1,7.11E-15,4,45
23275,2010,1,7.11E-15,2,21
13911,2010,1,7.11E-15,1,28
17638,2010,1,7.11E-14,9,119
16778,2010,1,-8.53E-14,3,86
14273,2010,1,0,7,153
18197,2010,1,2.84E-14,6,124
48304,2010,1,-2.22E-16,1,7
46357,2010,1,-1.55E-15,3,17
44745,2010,1,-2.84E-14,1,33
13596,2010,1,0,7,88
50649,2010,1,-1.42E-14,2,49
16255,2010,1,-2.13E-14,3,64
12926,2010,1,-4.62E-14,1,29
14055,2010,1,-1.78E-15,5,81
20550,2010,1,-2.84E-14,2,39
21021,2010,1,6.00E-15,2,26
20498,2010,1,1.42E-14,3,63
22949,2010,1,-1.42E-14,2,32
50827,2010,1,2.84E-14,2,67
14610,2010,1,0,1,13
11973,2010,1,1.24E-14,7,105
25004,2010,1,0,2,47
14455,2010,1,0,1,10
40477,2010,1,3.55E-15,1,22
11931,2010,1,1.14E-13,2,97
21356,2010,1,0,5,53
16534,2010,1,3.55E-15,3,24
21730,2010,1,1.42E-14,2,25
36382,2010,1,-2.84E-14,4,89
20935,2010,1,5.68E-14,6,89
24907,2010,1,2.84E-14,15,231
44543,2010,1,1.78E-14,1,30
23930,2010,1,4.26E-14,4,81
20788,2010,1,-4.26E-14,5,138
12590,2010,1,1.78E-15,5,63
14651,2010,1,7.11E-15,4,67
10394,2010,1,-8.88E-16,1,18
50524,2010,1,-7.11E-15,5,81
40133,2010,1,2.84E-14,7,57
42495,2010,1,-1.11E-16,1,7
21109,2010,1,0,3,65
50930,2010,1,2.84E-14,2,56
51174,2010,1,7.11E-15,6,79
10480,2010,1,-5.68E-14,5,99
18092,2010,1,1.42E-14,7,148
10802,2010,1,1.42E-14,1,34
22632,2010,1,2.13E-14,2,31
14275,2010,1,3.55E-15,2,27
17108,2010,1,1.42E-14,8,115
25393,2010,1,-1.56E-13,4,136
22027,2010,1,-7.11E-15,1,20
16898,2010,1,3.55E-15,2,21
19010,2010,1,8.88E-15,5,73
22435,2010,1,7.11E-14,4,73
44383,2010,1,0,12,216
19516,2010,1,4.26E-14,3,51
14281,2010,1,-1.78E-15,4,40
22671,2010,1,0,1,7
24354,2010,1,-7.11E-15,4,77
50122,2010,1,-1.42E-14,5,126
15912,2010,1,-8.88E-16,1,11
23404,2010,1,7.11E-15,8,87
23201,2010,1,1.14E-13,13,234
10728,2010,1,7.11E-15,3,34
11381,2010,1,0,1,16
10313,2010,1,-3.55E-15,5,33
21792,2010,1,-7.11E-15,7,75
14006,2010,1,-5.33E-15,4,55
42766,2010,1,-7.11E-15,2,12
19191,2010,1,1.60E-14,4,64
44344,2010,1,-3.55E-15,2,21
13769,2010,1,-2.13E-14,9,119
19432,2010,1,5.33E-15,2,32
11128,2010,1,-1.42E-14,2,60
10524,2010,1,4.44E-14,7,108
23118,2010,1,3.55E-15,5,47
23192,2010,1,1.78E-15,1,8
42562,2010,1,0,1,6
20513,2010,1,0,1,28
15089,2010,1,4.26E-14,7,101
13558,2010,1,-7.11E-15,3,40
44225,2010,1,0,2,18
20605,2010,1,-7.11E-14,8,181
50157,2010,1,-1.78E-15,4,40
19075,2010,1,6.39E-14,13,147
18988,2010,1,-2.13E-14,3,46
50959,2010,1,-1.07E-14,1,22
51014,2010,1,7.11E-15,4,45
16512,2010,1,-3.11E-15,3,38
15485,2010,1,1.99E-13,5,147
15336,2010,1,1.42E-14,5,61
50490,2010,1,-1.78E-15,1,11
38195,2010,1,-7.11E-15,3,31
42771,2010,1,1.42E-14,6,74
15954,2010,1,1.60E-14,7,71
51160,2010,1,0,1,9
14709,2010,1,1.07E-14,9,101
44777,2010,1,3.55E-15,3,36
21886,2010,1,0,1,9
23833,2010,1,-2.84E-14,5,166
15077,2010,1,1.42E-14,4,76
50158,2010,1,-8.53E-14,10,112
50777,2010,1,0,5,72
11823,2010,1,1.42E-14,1,30
17861,2010,1,8.53E-14,3,51
18517,2010,1,-1.85E-13,5,205
24070,2010,1,1.42E-14,1,22
18323,2010,1,-2.31E-14,6,112
13723,2010,1,-5.68E-14,2,50
11949,2010,1,2.84E-14,13,140
50971,2010,1,2.66E-15,2,13
21901,2010,1,1.42E-14,6,59
15767,2010,1,8.88E-16,2,9
23516,2010,1,-2.84E-14,2,35
18845,2010,1,-2.13E-14,3,46
17168,2010,1,9.95E-14,8,159
20323,2010,1,2.66E-15,4,30
10274,2010,1,1.07E-14,11,77
18745,2010,1,-2.31E-14,6,121
23034,2010,1,1.14E-13,8,135
13573,2010,1,-4.62E-14,20,282
23244,2010,1,6.39E-14,4,130
18959,2010,1,-3.55E-15,3,24
18251,2010,1,7.11E-15,3,44
11487,2010,1,3.55E-15,3,24
